date,year,month,county,population,deaths,death_rate,display_name,mortality_factor
1985-07-15,85,7,Queens,2405464,711.9097459540194,29.59552693176948,Queens,0.76925
1985-07-15,85,7,New York,1694251,465.2131895981767,27.458339384080443,Manhattan,0.7137
1985-07-15,85,7,Bronx,1472654,673.0940225985771,45.70618913869634,Bronx,1.1880000000000002
1985-07-15,85,7,Richmond,495747,195.21200119018857,39.37734392546774,Staten Island,1.0234999999999999
1985-08-15,85,8,Rest of State,11397059,4247.116609076993,37.265022573604234,,
1985-08-15,85,8,Kings,2736074,1024.5486529366633,37.44594089694443,Brooklyn,1.0259200000000002
1985-08-15,85,8,Queens,2405464,689.5742087344588,28.666993508714278,Queens,0.7854
1985-08-15,85,8,New York,1694251,449.551568059749,26.53394143251201,Manhattan,0.72696
1985-08-15,85,8,Bronx,1472654,655.9853968491676,44.54443452767369,Bronx,1.2204000000000002
1985-08-15,85,8,Richmond,495747,189.77719558537876,38.281057794677274,Staten Island,1.0488
1985-09-15,85,9,Rest of State,11397059,4414.112692536981,38.73027850901694,,
1985-09-15,85,9,Kings,2736074,1101.4519673707518,40.2566585322894,Brooklyn,1.0612000000000001
1985-09-15,85,9,Queens,2405464,738.7938205597128,30.71315224670636,Queens,0.8096249999999999
1985-09-15,85,9,New York,1694251,480.0114737723441,28.331780460648638,Manhattan,0.74685
1985-09-15,85,9,Bronx,1472654,708.9291365702281,48.13955868589826,Bronx,1.269
1985-09-15,85,9,Richmond,495747,204.37615583920953,41.22589866185969,Staten Island,1.0867499999999999
1985-10-15,85,10,Rest of State,11397059,4629.627908353588,40.6212506959347,,
1985-10-15,85,10,Kings,2736074,1193.6354458395056,43.62584659038848,Brooklyn,1.0964800000000001
1985-10-15,85,10,Queens,2405464,798.0497173746647,33.176539635374496,Queens,0.83385
1985-10-15,85,10,New York,1694251,516.8553601106411,30.50642201838105,Manhattan,0.76674
1985-10-15,85,10,Bronx,1472654,772.0180615594415,52.42358772389452,Bronx,1.3176
1985-10-15,85,10,Richmond,495747,221.84004428790385,44.74864079619319,Staten Island,1.1246999999999998
1985-11-15,85,11,Rest of State,11397059,4533.717995555622,39.77971857086659,,
1985-11-15,85,11,Kings,2736074,1219.0546425040845,44.55488566844627,Brooklyn,1.14352
1985-11-15,85,11,Queens,2405464,811.7897065783446,33.74773875553093,Queens,0.8661500000000001
1985-11-15,85,11,New York,1694251,523.65454231868,30.90773104567623,Manhattan,0.79326
1985-11-15,85,11,Bronx,1472654,793.2060450215696,53.86234954181835,Bronx,1.3824
1985-11-15,85,11,Richmond,495747,227.01805564576952,45.793127471425855,Staten Island,1.1753
1985-12-15,85,12,Rest of State,11397059,5047.118117003558,44.28439053446646,,
1985-12-15,85,12,Kings,2736074,1440.8397409644151,52.660846927547105,Brooklyn,1.2140800000000003
1985-12-15,85,12,Queens,2405464,954.2685112032241,39.670870618027294,Queens,0.9146000000000001
1985-12-15,85,12,New York,1694251,612.1870530501815,36.13319709123273,Manhattan,0.8330400000000001
1985-12-15,85,12,Bronx,1472654,945.1170078305106,64.17780468667526,Bronx,1.4796000000000002
1985-12-15,85,12,Richmond,495747,269.04651135424774,54.27093080830499,Staten Island,1.2512
1986-01-15,86,1,Rest of State,11397059,5119.33263958085,44.918014722753036,,
1986-01-15,86,1,Kings,2736074,1518.0800326260041,55.483880648915346,Brooklyn,1.2611200000000002
1986-01-15,86,1,Queens,2405464,1002.1053803524444,41.6595459484093,Queens,0.9469000000000001
1986-01-15,86,1,New York,1694251,640.7142210267259,37.81695988532549,Manhattan,0.8595600000000001
1986-01-15,86,1,Bronx,1472654,1000.6240339479942,67.94698781573908,Bronx,1.5444000000000002
1986-01-15,86,1,Richmond,495747,283.93228507484844,57.27362648182408,Staten Island,1.3018
1986-02-15,86,2,Rest of State,11397059,4660.093410065883,40.8885609003681,,
1986-02-15,86,2,Kings,2736074,1356.1253300558274,49.56464372147198,Brooklyn,1.2376
1986-02-15,86,2,Queens,2405464,896.6513250589661,37.27560774382681,Queens,0.9307500000000002
1986-02-15,86,2,New York,1694251,574.2404476945978,33.89346960365364,Manhattan,0.8463
1986-02-15,86,2,Bronx,1472654,891.7522228710484,60.55408961446805,Bronx,1.5120000000000002
1986-02-15,86,2,Richmond,495747,253.43850726936742,51.12254986300823,Staten Island,1.2765
1986-03-15,86,3,Rest of State,11397059,5193.803865988682,45.57143966692357,,
1986-03-15,86,3,Kings,2736074,1439.6289704939993,52.6165948177571,Brooklyn,1.1788
1986-03-15,86,3,Queens,2405464,955.992379312885,39.74253529933871,Queens,0.890375
1986-03-15,86,3,New York,1694251,614.9375713102082,36.295541292890384,Manhattan,0.81315
1986-03-15,86,3,Bronx,1472654,940.6389680880235,63.873725130819835,Bronx,1.4310000000000003
1986-03-15,86,3,Richmond,495747,268.4682958475116,54.15429560794349,Staten Island,1.2132500000000002
1986-04-15,86,4,Rest of State,11397059,4623.986148777237,40.571748806224804,,
1986-04-15,86,4,Kings,2736074,1192.1808571899326,43.57268323846258,Brooklyn,1.0964800000000001
1986-04-15,86,4,Queens,2405464,797.0771976118392,33.13611002334016,Queens,0.83385
1986-04-15,86,4,New York,1694251,516.2255095621271,30.469246266469792,Manhattan,0.76674
1986-04-15,86,4,Bronx,1472654,771.0772645066029,52.35970326407988,Bronx,1.3176
1986-04-15,86,4,Richmond,495747,221.5697054574287,44.6941091842066,Staten Island,1.1246999999999998
1986-05-15,86,5,Rest of State,11397059,4616.087685370345,40.50244616063096,,
1986-05-15,86,5,Kings,2736074,1151.8507153664993,42.09866821462063,Brooklyn,1.0612000000000001
1986-05-15,86,5,Queens,2405464,772.5985480341986,32.118483088260675,Queens,0.8096249999999999
1986-05-15,86,5,New York,1694251,501.97518895773516,29.628147715877702,Manhattan,0.74685
1986-05-15,86,5,Bronx,1472654,741.3673562650315,50.34226344172029,Bronx,1.269
1986-05-15,86,5,Richmond,495747,213.72772329708746,43.11225752189877,Staten Island,1.0867499999999999
1986-06-15,86,6,Rest of State,11397059,4357.695096773472,38.23525961191806,,
1986-06-15,86,6,Kings,2736074,1051.2239366741217,38.4208883485652,Brooklyn,1.0259200000000002
1986-06-15,86,6,Queens,2405464,707.528053701509,29.413371129291853,Queens,0.7854
1986-06-15,86,6,New York,1694251,461.25615192527914,27.22478262815127,Manhattan,0.72696
1986-06-15,86,6,Bronx,1472654,673.0647190838165,45.70419929486604,Bronx,1.2204000000000002
1986-06-15,86,6,Richmond,495747,194.71825965747416,39.277748459894696,Staten Island,1.0488
1986-07-15,86,7,Rest of State,11397059,4554.59250598812,39.96287556279318,,
1986-07-15,86,7,Kings,2736074,1073.5332257774942,39.23626428881288,Brooklyn,1.0024000000000002
1986-07-15,86,7,Queens,2405464,724.2907850140892,30.110231747974165,Queens,0.76925
1986-07-15,86,7,New York,1694251,473.3038537651015,27.93587572119488,Manhattan,0.7137
1986-07-15,86,7,Bronx,1472654,684.8000056002915,46.5010793845867,Bronx,1.1880000000000002
1986-07-15,86,7,Richmond,495747,198.6069925152353,40.06216729808457,Staten Island,1.0234999999999999
1986-08-15,86,8,Rest of State,11397059,4388.724774443403,38.50752000532245,,
1986-08-15,86,8,Kings,2736074,1058.70934792698,38.694470541622046,Brooklyn,1.0259200000000002
1986-08-15,86,8,Queens,2405464,712.5661224422629,29.622813828943723,Queens,0.7854
1986-08-15,86,8,New York,1694251,464.54060147938196,27.41864112692759,Manhattan,0.72696
1986-08-15,86,8,Bronx,1472654,677.857386037417,46.029643489741446,Bronx,1.2204000000000002
1986-08-15,86,8,Richmond,495747,196.10478273892952,39.5574320649302,Staten Island,1.0488
1986-09-15,86,9,Rest of State,11397059,4397.187413807928,38.58177283988727,,
1986-09-15,86,9,Kings,2736074,1097.2286086001584,40.10230017902142,Brooklyn,1.0612000000000001
1986-09-15,86,9,Queens,2405464,735.9610221679961,30.595387092386172,Queens,0.8096249999999999
1986-09-15,86,9,New York,1694251,478.1709389802723,28.223146333115476,Manhattan,0.74685
1986-09-15,86,9,Bronx,1472654,706.2108500036246,47.95497448848301,Bronx,1.269
1986-09-15,86,9,Richmond,495747,203.59250493491808,41.067823897051944,Staten Island,1.0867499999999999
1986-10-15,86,10,Rest of State,11397059,4556.285033861025,39.97772612970614,,
1986-10-15,86,10,Kings,2736074,1174.7257933950582,42.93472301535186,Brooklyn,1.0964800000000001
1986-10-15,86,10,Queens,2405464,785.4069604579324,32.65095467892816,Queens,0.83385
1986-10-15,86,10,New York,1694251,508.6673029799583,30.023137243534652,Manhattan,0.76674
1986-10-15,86,10,Bronx,1472654,759.7876998725385,51.59308974630419,Bronx,1.3176
1986-10-15,86,10,Richmond,495747,218.325639491727,44.03972984036756,Staten Island,1.1246999999999998
1986-11-15,86,11,Rest of State,11397059,4724.409469236283,41.45288244306082,,
1986-11-15,86,11,Kings,2736074,1270.3289666910407,46.428896539020535,Brooklyn,1.14352
1986-11-15,86,11,Queens,2405464,845.934171588733,35.16719317307317,Queens,0.8661500000000001
1986-11-15,86,11,New York,1694251,545.6798329239207,32.20773267502399,Manhattan,0.79326
1986-11-15,86,11,Bronx,1472654,826.5688677215809,56.12783910691723,Bronx,1.3824
1986-11-15,86,11,Richmond,495747,236.56660004699776,47.71921969210056,Staten Island,1.1753
1986-12-15,86,12,Rest of State,11397059,4967.005131019374,43.581463700586035,,
1986-12-15,86,12,Kings,2736074,1417.969268885615,51.8249604683797,Brooklyn,1.2140800000000003
1986-12-15,86,12,Queens,2405464,939.121391977776,39.04117425901099,Queens,0.9146000000000001
1986-12-15,86,12,New York,1694251,602.4697982398612,35.55965428026079,Manhattan,0.8330400000000001
1986-12-15,86,12,Bronx,1472654,930.1151505633597,63.159109374188354,Bronx,1.4796000000000002
1986-12-15,86,12,Richmond,495747,264.77593180894223,53.40948746214142,Staten Island,1.2512
1987-01-15,87,1,Rest of State,11397059,5056.709108283354,44.368543746973266,,
1987-01-15,87,1,Kings,2736074,1499.5097346734487,54.80516004587043,Brooklyn,1.2611200000000002
1987-01-15,87,1,Queens,2405464,989.8468728343573,41.14993501604502,Queens,0.9469000000000001
1987-01-15,87,1,New York,1694251,632.8765222682989,37.354354358846415,Manhattan,0.8595600000000001
1987-01-15,87,1,Bronx,1472654,988.3836473744624,67.11580910210154,Bronx,1.5444000000000002
1987-01-15,87,1,Richmond,495747,280.45901158539414,56.57301236021481,Staten Island,1.3018
1987-02-15,87,2,Rest of State,11397059,4445.706546164547,39.00748909139232,,
1987-02-15,87,2,Kings,2736074,1293.7369976803777,47.284430087796515,Brooklyn,1.2376
1987-02-15,87,2,Queens,2405464,855.4010219690863,35.56074927619313,Queens,0.9307500000000002
1987-02-15,87,2,New York,1694251,547.8226062752337,32.334205868860856,Manhattan,0.8463
1987-02-15,87,2,Bronx,1472654,850.7273022062786,57.768308252059114,Bronx,1.5120000000000002
1987-02-15,87,2,Richmond,495747,241.77910862985658,48.77066500248243,Staten Island,1.2765
1987-03-15,87,3,Rest of State,11397059,5062.91504381734,44.42299582565415,,
1987-03-15,87,3,Kings,2736074,1403.3489442986258,51.29060633223465,Brooklyn,1.1788
1987-03-15,87,3,Queens,2405464,931.9004575226841,38.74098541997237,Queens,0.890375
1987-03-15,87,3,New York,1694251,599.4405566953952,35.38085895746234,Manhattan,0.81315
1987-03-15,87,3,Bronx,1472654,916.9339669369892,62.26404620073617,Bronx,1.4310000000000003
1987-03-15,87,3,Richmond,495747,261.70263816375945,52.78955559262274,Staten Island,1.2132500000000002
1987-04-15,87,4,Rest of State,11397059,4584.4938317427805,40.22523557825559,,
1987-04-15,87,4,Kings,2736074,1181.9987366429225,43.20053977498132,Brooklyn,1.0964800000000001
1987-04-15,87,4,Queens,2405464,790.2695592720602,32.853102739099825,Queens,0.83385
1987-04-15,87,4,New York,1694251,511.8165557225286,30.209016003090962,Manhattan,0.76674
1987-04-15,87,4,Bronx,1472654,764.4916851367319,51.91251204537738,Bronx,1.3176
1987-04-15,87,4,Richmond,495747,219.6773336441027,44.31238790030049,Staten Island,1.1246999999999998
1987-05-15,87,5,Rest of State,11397059,4622.293620904331,40.556898239311835,,
1987-05-15,87,5,Kings,2736074,1153.3992802490502,42.15526627748556,Brooklyn,1.0612000000000001
1987-05-15,87,5,Queens,2405464,773.6372407778281,32.16166364484474,Queens,0.8096249999999999
1987-05-15,87,5,New York,1694251,502.6500517148281,29.667980229306526,Manhattan,0.74685
1987-05-15,87,5,Bronx,1472654,742.3640613394529,50.409944314105886,Bronx,1.269
1987-05-15,87,5,Richmond,495747,214.01506196199432,43.17021826899493,Staten Island,1.0867499999999999
